area_code,area,item_code,item,comm_code,comm_group,group
3,Albania,2549,"Pulses, Other and products",c019,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2551,Nuts and products,c020,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2555,Soyabeans,c021,Oil crops,Primary crops
3,Albania,2552,Groundnuts,c022,Oil crops,Primary crops
3,Albania,2557,Sunflower seed,c023,Oil crops,Primary crops
3,Albania,2558,Rape and Mustardseed,c024,Oil crops,Primary crops
3,Albania,328,Seed cotton,c025,Oil crops,Primary crops
3,Albania,2560,Coconuts - Incl Copra,c026,Oil crops,Primary crops
3,Albania,2561,Sesame seed,c027,Oil crops,Primary crops
3,Albania,254,"Oil, palm fruit",c028,Oil crops,Primary crops
3,Albania,2563,Olives (including preserved),c029,Oil crops,Primary crops
3,Albania,2570,"Oilcrops, Other",c030,Oil crops,Primary crops
3,Albania,2601,Tomatoes and products,c031,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2602,Onions,c032,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2605,"Vegetables, Other",c033,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2611,"Oranges, Mandarines",c034,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2612,"Lemons, Limes and products",c035,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2613,Grapefruit and products,c036,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2614,"Citrus, Other",c037,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2615,Bananas,c038,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2616,Plantains,c039,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2617,Apples and products,c040,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2618,Pineapples and products,c041,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2619,Dates,c042,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2620,Grapes and products (excl wine),c043,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2625,"Fruits, Other",c044,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2630,Coffee and products,c045,"Coffee, tea, cocoa",Primary crops
3,Albania,2633,Cocoa Beans and products,c046,"Coffee, tea, cocoa",Primary crops
3,Albania,2635,Tea (including mate),c047,"Coffee, tea, cocoa",Primary crops
3,Albania,677,Hops,c048,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2640,Pepper,c049,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2641,Pimento,c050,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2642,Cloves,c051,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2645,"Spices, Other",c052,"Vegetables, fruit, nuts, pulses, spices",Primary crops
3,Albania,2662,Jute,c053,Fibre crops,Primary crops
3,Albania,2663,Jute-Like Fibres,c054,Fibre crops,Primary crops
3,Albania,2664,"Soft-Fibres, Other",c055,Fibre crops,Primary crops
3,Albania,2665,Sisal,c056,Fibre crops,Primary crops
3,Albania,2666,Abaca,c057,Fibre crops,Primary crops
3,Albania,2667,"Hard Fibres, Other",c058,Fibre crops,Primary crops
3,Albania,2671,Tobacco,c059,"Tobacco, rubber",Primary crops
3,Albania,2672,Rubber,c060,"Tobacco, rubber",Primary crops
3,Albania,2000,Fodder crops,c061,Fodder crops,Primary crops
3,Albania,2001,Grazing,c062,Grazing,Primary crops
3,Albania,2559,Cottonseed,c063,Fibre crops,Crop products
3,Albania,2562,Palm kernels,c064,Oil crops,Crop products
